티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
RELIANCE.NS	RELIANCE.NS	India Nifty 50	1274.0	-2.5248661055853105	-8.490156250356208		-19.989954095798858	1303.179998779297	1384.269501953125	N	N	주의	RELIANCE INDUSTRIES LTD	NSI	INR	Energy	Oil & Gas Refining & Marketing	Oil & Gas Refining & Marketing	Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, advanced materials and composites, renewable, financial services, retail, and digital services worldwide. It operates through the Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company is involved in refining and marketing products, including liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosine oi		47.0	55.25	15.976050999310809	6.58907750634663		4170970000000.0	2707510000000.0	1036700000000.0	3980000000000.0	9040300000000.0					6.58907750634663			판정불가	판정불가	21.67815501269326	1197.7180644513026	-5.987593057197604	판정불가	일부부족
TCS.NS	TCS.NS	India Nifty 50	2204.10009765625	1.9472755622687243	-9.756788986882336		-33.709279605603726	2327.867510986328	2579.056996459961	N	N	주의	TATA CONSULTANCY SERV LT	NSI	INR	Technology	Information Technology Services	Information Technology Services	Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cl		2.94	137.56	1.3531604638230332	5.300128040832486		763410000000.0	0.0	18300000000.0	112830000000.0	1072400000000.0					5.300128040832486			판정불가	판정불가	19.100256081664973	2627.431226593834	19.206529203811428	판정불가	일부부족
HDFCBANK.NS	HDFCBANK.NS	India Nifty 50	693.7999877929688	-10.74805305422334	-16.68568144185305		-31.272908589106606	730.93125	832.6235000610352	N	N	주의	HDFC BANK LTD	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	HDFC Bank Limited provides banking and financial products and services to individuals and businesses in India, Bahrain, Hong Kong, Singapore, and Dubai. The company operates through Treasury, Retail Banking, Wholesale Banking, Other Banking Business, Insurance Business, and Other segments. It offers savings, salary, current, rural, public provident fund, pension, and demat accounts; fixed and recurring deposits; and safe deposit lockers, as well as offshore accounts and deposits, and overdrafts 	10694273531904.0	1.89	45.76	4.6450949453778145	12.466083352511493		10926194700000.0	5119434000000.0	1349648400000.0	6643640400000.0	8167395600000.0	376.71847520635947	69.1431321850538	9.965859527470364	6.929228858973105	12.466083352511493	0.555846504714498	2.0718154421932358	헐값	안심(>=2)	33.432166705022986	1529.8559484218517	120.50388805690835	양호	충분
ICICIBANK.NS	ICICIBANK.NS	India Nifty 50	1384.5	4.285931414615285	9.317015396762729		-5.37215343431744	1429.6625	1356.2625012207031	N	Y	상승전환/양호	ICICI BANK LTD.	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	ICICI Bank Limited, together with its subsidiaries, engages in the provision of various banking and financial services to corporate and retail customers in India and internationally. The company operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life Insurance, General Insurance, and Others segments. The company offers asset management, securities brokerage, private equity, foreign exchange, agricultural and rural banking, equities underwriting, depositary share account	9937525669888.0	86.0	77.37	6.228801510304027	16.780797644876188		2902489464000.0	1830990495000.0	245182915000.0	2076173410000.0	3630604157000.0	149.28164949126162	88.60138991712054	6.399522565339151	15.96508143348505	16.780797644876188	0.9513899023959563	6.437849883390163	헐값	안심(>=2)	42.061595289752375	3254.3056275681415	135.05277194425003	양호	충분
INFY.NS	INFY.NS	India Nifty 50	1036.5	-8.670369397944588	-18.115029229174894		-38.66138181740426	1124.6099975585937	1297.133000793457	N	N	주의	INFOSYS LIMITED	NSI	INR	Technology	Information Technology Services	Information Technology Services	Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also pr	4198135234560.0	4.83	76.59	4.9081697276757374	3.582523363792678		5163000000.0	0.0	333000000.0	967000000.0	9786000000.0	1.274720566382578	0.9216602506887785	0.08892042939592654	13.516454882277287	3.582523363792678	3.7728867364504617	0.6223912584373835	매우 불리	불리(<1)	15.665046727585356	1199.7859288657623	15.753586962446931	보류	충분
BHARTIARTL.NS	BHARTIARTL.NS	India Nifty 50	1839.0	-0.11948464209304843	2.0929301143583157		-14.967399938973314	1917.3274993896484	1927.8905017089844	N	N	중립	BHARTI AIRTEL LIMITED	NSI	INR	Communication Services	Telecom Services	Telecom Services	Bharti Airtel Limited operates as a telecommunications company in India and internationally. It operates through the Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Passive Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company provides voice and data telecom services through wireless technology including 2G/3G/4G/5G services; passive infrastructure service, including the setup, operation, and maintenance o	11472892592128.0	1.32	47.91	-20.44605898778463	47.33977446458364		866742000000.0	1000849000000.0	215865000000.0	1954117000000.0	1490566000000.0	-21.498368458636566	121.05690929640689	6.582757438630065	38.833194916690395	47.33977446458364	0.8203079832106661	1.2530458688494315	헐값	보통(1~1.5)	60.0	2874.6	56.31321370309949	보류	충분
SBIN.NS	SBIN.NS	India Nifty 50	1009.7000122070312	-1.092223504487666	-6.957237593248477		-17.763481670265413	1041.6124984741211	1041.0882476806642	N	N	주의	STATE BANK OF INDIA	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	State Bank of India provides banking products and services in India and internationally. The company operates through the Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Business segments. It offers personal banking products and services, including current, savings, salary, and deposit accounts; home, personal, pension, auto, education, and gold loans, as well as loans against insurance property, and securities; debit, business debit, prepaid, and green remit cards; over	9320154529792.0	1.73	93.55	7.397300658448813	14.39206891326348		6671134748000.0	0.0	0.0	7268922204000.0	5961308694000.0	722.7181373127248	32.21283031494877	3.1903367263051763	3.06768439224272	14.39206891326348	0.21315103552732406	5.2554522733927564	매우 유망	안심(>=2)	37.28413782652696	3487.931093671597	245.44231469776622	매우 유망	충분
ITC.NS	ITC.NS	India Nifty 50	259.29998779296875	-9.934007193414141	-14.732001779472814		-38.49620871938443	275.05749893188477	312.0142504882813	N	N	주의	ITC LTD	NSI	INR	Consumer Defensive	Tobacco	Tobacco	ITC Limited engages in the fast-moving consumer goods, paperboards, paper and packaging, and agri businesses in India and internationally. The company offers cigarettes and cigars; foods, including staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy products, ready-to-eat meals, chocolates, coffee, and frozen foods; personal care products; education and stationery, such as balls, gels and roller pens, mechanical pencils, geometry boxes, erasers, sharpen	3248972365824.0	6.13	15.83	-40.45618236934057	2.5366068168754863		463380800000.0	600000000.0	21265200000.0	23993600000.0	725073000000.0	36.93446532868901	12.994176562463778	5.011252284685272	14.047095544174336	2.5366068168754863	5.537750451004904	0.6169678841879689	매우 불리	불리(<1)	13.573213633750973	214.8639718222779	-17.13691402337034	보류	충분
LT.NS	LT.NS	India Nifty 50	3955.0	-5.151321760004679	6.331496168839901		-10.481883330391707	3981.2550048828125	3983.032501220703	N	N	중립	LARSEN & TOUBRO LTD.	NSI	INR	Industrials	Engineering & Construction	Engineering & Construction	Larsen & Toubro Limited engages in engineering, procurement, and construction projects (EPC) in India and internationally. The company operates through four segments: Infrastructure Projects, Energy Projects, Hi-Tech Manufacturing, and Others. The Infrastructure Projects segment is involved in the engineering and construction of building and factories, transportation infrastructure, heavy civil infrastructure, power transmission & distribution, renewables, water and effluent treatment, and miner	5441550548992.0	97.0	120.42	6.96197607119986	15.382271021915606		1378585600000.0	637385900000.0	579444300000.0	1254970400000.0	1092898000000.0	538.7150010760568	86.72195732862914	2.1927169994596496	28.369747541304957	15.382271021915606	1.8443146334429865	3.9613419491411603	보통	안심(>=2)	39.26454204383121	4728.236152918154	19.550850895528548	보류	충분
HINDUNILVR.NS	HINDUNILVR.NS	India Nifty 50	1942.300048828125	-10.44356302566415	-10.13694195498207		-26.525437910795347	2059.442501831055	2219.5025030517577	N	N	주의	HINDUSTAN UNILEVER LTD.	NSI	INR	Consumer Defensive	Household & Personal Products	Household & Personal Products	Hindustan Unilever Limited, a fast-moving consumer goods company, manufactures and sells food, home care, and personal care products in India and internationally. It operates through Home Care, Beauty & Wellbeing, Personal Care, Foods, and Others segments. The company offers detergent bars, detergent powders, detergent liquids, and scourers; skin care and hair care products; skin cleansing, oral care, bodywash, and deodorants; and culinary products, such as tomato based products, fruit based pro	4563611418624.0	2.26	44.93	41.233918677810124	14.118426432640984		142350000000.0	0.0	0.0	14780000000.0	487380000000.0	60.58500569959985	41.01990059239503	2.1119239850271403	41.881038128834305	14.118426432640984	2.9664097715597944	0.3910702113509633	매우 불리	불리(<1)	36.73685286528197	1650.5867992371188	-15.01895908240385	보류	충분
BAJFINANCE.NS	BAJFINANCE.NS	India Nifty 50	1043.5	10.739680942165709	20.90140534317515		-9.949952016719887	1078.4650100708009	977.6220016479492	N	Y	상승전환/양호	BAJAJ FINANCE LIMITED	NSI	INR	Financial Services	Credit Services	Credit Services	Bajaj Finance Limited operates as a deposit-taking non-banking financial company in India. The company offers financing for various products, such as consumer electronics, furniture, digital products, lifestyle products, lifecare services, e-commerce purchases, retail spends, and two and three-wheelers; and personal, unsecured, home, secured, gold, and car loans. It also provides secured and unsecured loans to micro, small, and medium enterprises; loans against property, mutual funds, insurance 	6491522727936.0	52.0	32.53	14.302174203110752	18.22815698685951		40161800000.0	0.0	0.0	3528467100000.0	1139990200000.0	6.455933291704096	-107.30080762346581	-10.282779839335488	31.87962086407304	18.22815698685951	1.7489217855131887	2.2029169445363017	보통	안심(>=2)	44.95631397371902	1462.4288935650798	40.14651591423859	보류	충분
KOTAKBANK.NS	KOTAKBANK.NS	India Nifty 50	416.54998779296875	2.6617345145948823	10.991207391873203		-6.418495605145102	400.2900001525879	400.55350021362307	Y	Y	상승전환/양호	KOTAK MAHINDRA BANK LTD	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	Kotak Mahindra Bank Limited provides a range of banking and financial services to corporate and individual customers in India. It operates through Corporate/Wholesale Banking; Retail Banking; Treasury, BMU and Corporate Centre; Vehicle Financing; Other Lending Activities; Broking; Advisory and Transactional Services; Asset Management; and Insurance segments. The company offers savings, current, retail institution, corporate, private banking, and salary accounts; NRE and NRO fixed deposits and fo	4143696052224.0	16.0	20.41	-12.82698142894313	8.923950945073944		1034828436000.0	0.0	0.0	953935315000.0	1812258709000.0	104.02736414359663	40.88253975160469	9.81455790413416	15.312230458078007	8.923950945073944	1.715857757659506	1.6277152445759624	보통	양호(>=1.5)	26.347901890147888	537.7606775779184	29.098714040820738	보류	충분
AXISBANK.NS	AXISBANK.NS	India Nifty 50	1246.0	-8.13242238864673	-0.7803828991144068		-11.190306486101209	1248.5550109863282	1288.4690020751952	N	N	주의	AXIS BANK LIMITED	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	Axis Bank Limited provides various financial products and services in India and internationally. The company operates through four segments: Treasury, Retail Banking, Corporate/Wholesale Banking, and Other Banking Business. It provides fixed, recurring, and safe deposits; and saving, salary, current, safe custody, pension disbursement, and demat and trading accounts. The company also offers home, personal, car, two-wheeler, business, commercial vehicle construction equipment, education, gold loa	3879329071104.0	8.0	88.8	-5.953496528796354	34.605620932767664		1180410900000.0	0.0	0.0	2805106200000.0	2150353500000.0	379.1356686934422	-34.838501143744494	-2.7960273791127204	9.761985712911688	34.605620932767664	0.2820924881503333	4.3644420495735154	매우 유망	안심(>=2)	60.0	5328.0	327.6083467094703	보류	충분
ASIANPAINT.NS	ASIANPAINT.NS	India Nifty 50	2498.10009765625	-8.805167264355019	12.466241336728201		-15.846383774423112	2660.9174987792967	2593.1064978027343	N	N	중립	ASIAN PAINTS LIMITED	NSI	INR	Basic Materials	Specialty Chemicals	Specialty Chemicals	Asian Paints Limited, together with its subsidiaries, engages in the manufacture, distribution, and sale of paints, coatings, and products related to home decoration and bath fittings, kitchen, and wardrobe in India, Asia, the Middle East, Africa, and the South Pacific region. The company offers wall coverings, waterproofing products, adhesives; and bath fittings and sanitaryware, modular kitchens and wardrobes, fabric, furnishings, rugs, decorative lightings, unplasticized polyvinyl chloride wi	2394789511168.0	1.1	49.78	17.945970119136234	1.7462094983582643		165304500000.0	12471700000.0	10460900000.0	39289300000.0	213715900000.0	159.42597353067228	58.42479874143516	2.338769322984698	46.98019534201642	1.7462094983582643	26.904100216031264	0.06058317718003987	매우 불리	불리(<1)	11.992418996716529	596.9826176565488	-76.10253415318924	보류	충분
MARUTI.NS	MARUTI.NS	India Nifty 50	12590.0	-8.80115900036219	-3.2357236184766713		-27.191764978024523	13579.675	14219.735	N	N	주의	MARUTI SUZUKI INDIA LTD.	NSI	INR	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	Maruti Suzuki India Limited manufactures and sells motor vehicles, parts, and accessories in India. The company offers passenger and commercial vehicles, including hatchbacks, sedans, SUVs, MPVs, and vans, as well as light commercial vehicles. It is also involved in the facilitation of pre-owned car sales, fleet management, and car financing activities. In addition, the company offers driving school, insurance, accessories, and financing products and services. It also exports its products to Sou	3958328262656.0	1.11	455.51	1.2365346684873213	21.109694032148575		345829000000.0	0.0	0.0	1025000000.0	1071563000000.0	1099.9560073576242	276.7884463948441	2.1984785257731856	25.22457024575174	21.109694032148575	1.1949282735854199	0.8808750284215748	보통	불리(<1)	50.71938806429715	23103.188457167995	83.50427686392369	보류	충분
