순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	039200	오스코텍	직접추가	메인	35050.0		1368.0	15192017092.0		7091325790.0	6000000000.0						판정불가	일반	일반	211.7375198964007	54.90829730094817	25.466566140426607	25.581207385013926	N	N	5847.826086956522			11704.152173913044			16011280.173913045			45581.25584568629			1년	11704.152173913044	16011280.173913045	45581.25584568629		229.62758523118896					1년	229.62758523118896	안심(>=2)	1년	5847.826086956522	0.004354877481262542	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	38258176.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
2	171090	선익시스템	직접추가	메인	67200.0	1000.0	10959.0	149747229475.0	1000000000.0	41619580773.0	37350000000.0						판정불가	일반	일반	11413.23046060536	7506.941240834078	5.090498178610698	5.446943951014319	N	N	-441.2955465587045		108.97178221983204			226.44356443966407			2481595.0226942785			3592.8497361522	5년	226.44356443966407	2481595.0226942785	3592.8497361522	1.488095238095238	-86.39772295147776		21.6992273805457	7500.184985855782	11.160989562285389	5년	21.6992273805457	안심(>=2)	5년	108.97178221983204	0.04671391138984479	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	9561504.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
3	041510	에스엠	직접추가	메인	82700.0	1620.0	15166.0	364611980599.0	229637014667.0	71674775222.0	5166699000.0						판정불가	일반	일반	22825.127575171362	22599.45520310605	3.947967323277637	3.9628474744094655	N	N	1807.6729559748428	64.77467023251435		3623.8459119496856	138.0493404650287		54959247.100628935	2093656.2974926254		66356.16336230827	2431.627929253477		3년	138.0493404650287	2093656.2974926254	2431.627929253477	1.9588875453446193	458.3705221799595	16.903270040861482				3년	16.903270040861482	안심(>=2)	3년	64.77467023251435	0.0609492461961761	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	22894690.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	018290	브이티	직접추가	메인	12180.0		1728.0	84220398087.0	525529750.0	0.0	35176445000.0						판정불가	일반	일반	2425.342588933072	1418.6283743001727	5.645056372145213	6.227645616724437	N	N	-37.41398044186889	71.59549321993607	119.38804809293298		151.69098643987215	247.27609618586595		262122.02456809906	427293.0942091764		2052.069167225772	3408.1534828339604	3년	151.69098643987215	262122.02456809906	2052.069167225772		-6.627742572507025	12.682865945008912	21.1491330152233	1286.287521709648	10.560652887599737	3년	12.682865945008912	안심(>=2)	3년	71.59549321993607	0.07884653234811884	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	34941838.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	067160	SOOP	직접추가	메인	38150.0	3380.0	9556.0	134011835737.0	116354281889.0	5107094014.0	341000000.0						판정불가	일반	일반	21336.580690326304	21306.915017242194	1.759462045800931	1.7625664485933241	N	N	0.7060807250500512	20.62187794636918	22.171262636843704	9.912161450100102	49.74375589273836	52.84252527368741	94720.61481715657	475351.3313110078	504963.17151535687	148.2847046321273	1146.0061109069666	1223.625613408537	3년	49.74375589273836	475351.3313110078	1146.0061109069666	8.859764089121887	5.436800888658804	16.756054559887154	17.636655931296232	8736.18659282089	22.899571671876515	3년	16.756054559887154	안심(>=2)	3년	20.62187794636918	0.085320165815001	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11494767.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
6	033500	동성화인텍	직접추가	메인	16760.0	400.0	1869.0	80845872158.0	216438728.0		7174500000.0						판정불가	일반	일반	2703.023628408002	2463.7898487383613	7.521121654142321	7.649122606346516	N	N	37.933579335793354	85.03864028854527	18.260466581831338	84.36715867158671	178.57728057709053	45.020933163662676	157682.21955719555	333760.93739858223	84144.12408288554	840.824699028613	1891.4137076287723	402.0532463179328	3년	178.57728057709053	333760.93739858223	1891.4137076287723	2.386634844868735	5.360930993378547	11.623967694401513	2.745215723951029	2286.215405268258	13.640903372722304	3년	11.623967694401513	안심(>=2)	3년	85.03864028854527	0.08844357845589187	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	29989494.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
7	095660	네오위즈	직접추가	메인	17620.0	303.0	2522.0	71506938430.0									판정불가	일반	일반	3271.6081990167277	3271.6081990167277	5.689290959945786	5.689290959945786	N	N	2037.2881355932204	59.20438360697895	-2.0836107187727326	4083.076271186441	126.9087672139579	4.332778562454535	10297518.355932204	320063.9109136018	10927.267534510336	58342.21541391716	1716.4807656844598	-37.98372568382329	3년	126.9087672139579	320063.9109136018	1716.4807656844598	1.7196367763904656	358.39400493397176	10.708543615064112	-0.06397527300761137	3260.7172211176594	18.505773105094548	3년	10.708543615064112	안심(>=2)	3년	59.20438360697895	0.09609577219338093	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	21856816.0	1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
8	042000	카페24	직접추가	메인	15920.0		1642.0	49522683230.0	127627894802.0								판정불가	일반	일반	7304.258590773764	7304.258590773764	5.247101954461776	5.247101954461776	N	N	51.05795768169272			110.61591536338544			181631.33302667888			1040.9003330821538			1년	110.61591536338544	181631.33302667888	1040.9003330821538		9.730696701686258			2841.1426224507645	17.84637325660028	1년	9.730696701686258	안심(>=2)	1년	51.05795768169272	0.10276756440540454	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	24253054.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	053800	안랩	직접추가	메인	56700.0	1400.0	5714.0	67126196416.0	212621651635.0	1087944763.0	210000000.0						판정불가	일반	일반	25044.690874925156	25025.817025398628	5.539956094692832	5.543259183514416	N	N	51.84693064044645	51.8781942609736	21.726884580572147	112.1938612808929	112.2563885219472	51.953769161144294	641075.723359022	641433.0040144064	296863.8369867785	1030.6450147425433	1031.2751393552142	423.56937740172566	3년	112.2563885219472	641433.0040144064	1031.2751393552142	2.4691358024691357	9.804421824741409	9.810065122268098	4.367547317968926	5241.269111345467	9.243860866570488	3년	9.810065122268098	안심(>=2)	3년	51.8781942609736	0.10678775878019282	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11126506.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
10	052400	코나아이	직접추가	메인	36300.0	1200.0	5176.0	241128404564.0	58021158699.0		39569006603.0						판정불가	일반	일반	20541.34352345222	17824.30610361353	3.0445626886684276	3.569492638405423	N	N	144.84389782403028	27.53848072272529	32.30025281189095	298.18779564806056	63.57696144545058	73.1005056237819	1543420.0302743614	329074.3524416522	378368.2171086951	4151.845813427993	806.5409158172237	942.3366862498489	3년	63.57696144545058	329074.3524416522	806.5409158172237	3.3057851239669422	48.6604146793877	10.13093471896363	11.694959695978728	8756.869650891409	24.123607853695344	3년	10.13093471896363	안심(>=2)	3년	27.53848072272529	0.11055666866022842	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	14563291.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
11	257720	실리콘투	직접추가	메인	46250.0	306.0	2756.0	77322804082.0	702044561.0	13804276303.0	41523500000.0						판정불가	일반	일반	979.3266675259208	346.1172550697164	16.42622399581788	16.655980676680073	N	N	38.49246231155779	145.61530361348161		85.48492462311557	299.73060722696323		235596.45226130652	826057.5535175106		409.3977346190411	1686.0703859838068		3년	299.73060722696323	826057.5535175106	1686.0703859838068	0.6616216216216216	2.3836326561203625	8.905085263195325		-89.94114448626921	-0.19446733942977126	3년	8.905085263195325	안심(>=2)	3년	145.61530361348161	0.11280561581232784	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	65576252.0	단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:NA
