순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
16	006730	서부T&D	직접추가	메인	11080.0	100.0	1242.0	101942784570.0	72912659293.0	486846300963.0	177008800000.0						판정불가	일반	일반	-4805.261710923834	-7531.539067391196	12.790065789793747	14.985136125113685	Y	Y	133.0206378986867	62.959581135890886		274.5412757973734	134.41916227178177		340980.2645403377	166948.59954155295		2977.4392106528676	1406.756313551922		3년	134.41916227178177	166948.59954155295	1406.756313551922	0.9025270758122743	10.470873815314333	4.9931024016048475		1627.4085488696269	14.687802787632013	3년	4.9931024016048475	안심(>=2)	3년	62.959581135890886	0.20314725033173087	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	64926923.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
17	336570	원텍	직접추가	메인	5050.0	50.0	393.0	32498476963.0	75232106675.0	487294320.0							판정불가	일반	일반	1192.004046887448	1192.004046887448	9.816783595706239	9.816783595706239	N	N	20.1834862385321	35.49142835356642		48.8669724770642	79.48285670713284		19204.72018348623	31236.762685903206		280.29148878190557	518.5497561564991		3년	79.48285670713284	31236.762685903206	518.5497561564991	0.9900990099009901	2.1568760319514633	3.7162403558966153		553.7079332649815	10.964513529999634	3년	3.7162403558966153	안심(>=2)	3년	35.49142835356642	0.27659590078796537	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	89968897.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:NA
18	101490	에스앤에스텍	직접추가	메인	41650.0	200.0	2797.0	80010035302.0	5017410958.0	26284266393.0							판정불가	일반	일반	2753.387064768448	2753.387064768448	13.906547349028086	13.906547349028086	N	N	92.63085399449037	49.44549088724932	38.14129881462278	193.76170798898073	107.39098177449864	84.78259762924556	541951.4972451791	300372.5760232727	237136.92556899984	1201.2040750184372	621.1826555180618	469.3563639111641	3년	107.39098177449864	300372.5760232727	621.1826555180618	0.4801920768307323	6.695482619402905	3.5900847069398076	2.7772163659409483	-824.5298757963427	-1.9796635673381575	3년	3.5900847069398076	안심(>=2)	3년	49.44549088724932	0.2812500614209539	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	21334879.0	주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
19	036620	감성코퍼레이션	직접추가	메인	3920.0		387.0	32602954268.0		0.0	10000000000.0						판정불가	일반	일반	360.23862771419766	249.74599420835182	9.19834979918812	9.483860480081779	N	N	20.560747663551403	29.066288067403256		49.62149532710281	66.63257613480651		19203.518691588786	25786.806964170122		389.88568090787726	557.826708269646		3년	66.63257613480651	25786.806964170122	557.826708269646		2.2352648151482746	3.159945936168763				3년	3.159945936168763	안심(>=2)	3년	29.066288067403256	0.31646111047470565	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	90503771.0	단기위험부채 존재; fs=2025:OFS,2024:OFS,2022:OFS,2020:CFS
20	218410	RFHIC	직접추가	메인	48450.0	400.0	1131.0	109923743273.0		50413553988.0	7000000000.0						판정불가	일반	일반	2245.375875518357	1981.2592373850914	40.85289489344088	41.08641977242697	N	N	13.66834170854272	120.15011325715346	67.80648322593032	35.83668341708544	248.80022651430693	144.11296645186064	40531.28894472363	281393.05618768116	162991.76505705438	-16.344088865379504	480.7906216464008	236.412311779266	3년	248.80022651430693	281393.05618768116	480.7906216464008	0.8255933952528379	0.3547835506296672	2.961251753834206	1.6799807406598828	916.5035427473911	1.8916481790451827	3년	2.961251753834206	안심(>=2)	3년	120.15011325715346	0.340015450555629	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	26503442.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
21	078600	대주전자재료	직접추가	메인	85800.0	100.0	1377.0	87095348554.0	15651970912.0	158800187034.0	175574260916.0						판정불가	일반	일반	-3620.8475714076326	-14962.419623330967	64.93888712520526	73.17532289276032	Y	Y	-39.28571428571429	173.91745789192484	31.893371216078826		356.3349157838497	72.28674243215765		490673.17903436103	99538.84432908108		471.88016204470983	16.01263907818309	3년	356.3349157838497	490673.17903436103	471.88016204470983	0.11655011655011654	-0.6031696245986503	2.6799659759017604	0.492923774177286	-829.2141970272069	-0.9664501130853227	3년	2.6799659759017604	안심(>=2)	3년	173.91745789192484	0.37338912327915547	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	15480593.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
22	145020	휴젤	직접추가	메인	243000.0		13061.0	209698099582.0	329970257844.0	26913106215.0							판정불가	일반	일반	41673.754549504214	41673.754549504214	15.414305600681097	15.414305600681097	N	N	4.321086261980822	39.501975429687434	31.2527994792986	17.142172523961644	87.50395085937487	71.0055989585972	223893.91533546304	1142889.102174295	927404.1279982381	-7.862586281702455	370.3247334050597	281.64778929968645	3년	87.50395085937487	1142889.102174295	370.3247334050597		0.2803296089958078	2.562682773588062	2.0275191298865685	9796.458970973175	4.031464597108303	3년	2.562682773588062	안심(>=2)	3년	39.501975429687434	0.3902160697790466	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	12304033.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
23	060250	NHN KCP	직접추가	메인	15300.0	250.0	1195.0	374983454305.0	42744455032.0	1106182931.0							판정불가	일반	일반	10373.889142423655	10373.889142423655	4.122268500063886	4.122268500063886	N	N	2.224123182207016	9.78930899024495	-2.781281006491565	12.948246364414032	28.0786179804899	2.93743798701687	15473.154405474768	33553.948486685425	3510.23839448516	1.131728140357957	119.30685285415312	-77.05726539552184	3년	28.0786179804899	33553.948486685425	119.30685285415312	1.6339869281045754	0.9359191693243173	2.7711188434650698	-0.278316193709655	4859.738255028043	31.76299513090224	3년	2.7711188434650698	안심(>=2)	3년	9.78930899024495	0.42109902794688864	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	40160611.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
24	214450	파마리서치	직접추가	메인	376500.0	3700.0	14933.0	175663243434.0		859864326.0	0.0						판정불가	일반	일반	16824.76433349811	16824.76433349811	24.085932877954992	24.085932877954992	N	N	67.01711217984565	54.27336919294326	34.07294725066401	142.5342243596913	117.04673838588651	76.64589450132802	2128463.5723632704	1747858.9443164433	1144553.1425883314	465.328970083206	364.2387634306623	203.99817864231912	3년	117.04673838588651	1747858.9443164433	364.2387634306623	0.9827357237715804	2.8232183593708804	2.294123511707068	1.4554421932530097	14185.294456944066	3.767674490556193	3년	2.294123511707068	안심(>=2)	3년	54.27336919294326	0.44378915914228334	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	10389648.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
25	214430	아이쓰리시스템	직접추가	메인	59700.0	400.0	2657.0	9957436148.0	48991860345.0	8260246938.0							판정불가	일반	일반	6936.849340685883	6936.849340685883	19.858167353900683	19.858167353900683	N	N	23.237476808905377	43.93661447574133	43.74102307298442	54.974953617810755	96.37322895148266	95.98204614596884	146068.45176252318	256063.66932408942	255024.2966098392	144.67077347156314	328.917369052076	327.1763762308864	3년	96.37322895148266	256063.66932408942	328.917369052076	0.6700167504187605	1.2039123819060804	2.2462612199407284	2.236411801347804	539.5952980718372	0.903844720388337	3년	2.2462612199407284	안심(>=2)	3년	43.93661447574133	0.4519730887518643	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	7307215.0	fs=2025:OFS,2024:OFS,2022:OFS,2020:OFS
