종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
"=""194480"""	데브시스터즈	직접추가	메인	15160.0		953.0	12035223609.0	112681173019.0	79632914264.0							판정불가	일반	일반	3716.953155332402	3716.953155332402	12.007394380553619	12.007394380553619	N	N	-63.275529865125236												1년					-5.269713633092796			367.56073533594684	2.4245431090761667	1년	-5.269713633092796	불리(<1)	1년	-63.275529865125236		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	12129150.0	배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""196170"""	알테오젠	직접추가	메인	279500.0	371.0	2653.0	66380706542.0	363641391678.0	6204706421.0	0.0						판정불가	일반	일반	7920.963462850038	7920.963462850038	102.36676838942705	102.36676838942705	N	N	126.3651877133106			261.2303754266212			693044.1860068261			147.95856386648518			1년	261.2303754266212	693044.1860068261	147.95856386648518	0.13273703041144902	1.2357323253821442			1695.3263015208747	0.6065568162865383	1년	1.2357323253821442	보통(1~1.5)	1년	126.3651877133106	0.8100867829332106	헐값	Y	통과	보류	중간구간(보류)	53505788.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""200130"""	콜마비앤에이치	직접추가	메인	8090.0	75.0	-800.0	83107448913.0	1401160966.0	97587149400.0	86424320000.0						판정불가	일반	일반	-444.6130010860239	-3382.6609551652905			Y	Y	-228.8244766505636												1년				0.9270704573547589				529.9576345959509	6.550774222446859	판정불가		판정불가	1년	-228.8244766505636		판정불가	N	주당순현금<=0 / 순현금차감PER<=0	제외	하드필터 미통과	29415558.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""213420"""	덕산네오룩스	직접추가	메인	31200.0		2165.0	126289412183.0	23523118181.0	73316735293.0	0.0						판정불가	일반	일반	3080.6348369926372	3080.6348369926372	12.988159428640813	12.988159428640813	N	N	16.21041331186259	11.211848026446525	9.282628183044572	40.92082662372518	30.92369605289305	27.065256366089145	88593.58964036503	66949.80195451346	58596.280032582996	183.9538129498879	114.58269857215852	87.80858984802242	3년	30.92369605289305	66949.80195451346	114.58269857215852		1.2480916484683913	0.8632360950022481	0.7146992792970345	1872.3304627621587	6.001059175519739	3년	0.8632360950022481	불리(<1)	3년	11.211848026446525	1.1584316339290652	보통	Y	통과	제외	배당감안점수<1	24831179.0	배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:OFS
"=""214150"""	클래시스	직접추가	메인	31500.0	1000.0	2017.0	37521303951.0	180409959460.0	65234627334.0	21324811600.0						판정불가	일반	일반	2331.044957154007	2005.5034401989606	14.461554309789783	14.622953177888467	N	N	32.959789057350044	20.077044785232843	27.870621881389045	74.41957811470009	48.654089570465686	64.24124376277808	150104.28905735008	98135.29866362929	129574.5886695234	376.52155256301614	211.54063067818822	311.3479005381695	3년	48.654089570465686	98135.29866362929	211.54063067818822	3.1746031746031744	2.4986520437496793	1.6078249586281166	2.146741933194282	2208.700745152415	7.011748397309255	3년	1.6078249586281166	양호(>=1.5)	3년	20.077044785232843	0.720302936238236	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	65505659.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""214370"""	케어젠	직접추가	메인	43550.0	437.0	411.0	8858967118.0	20193560836.0								판정불가	일반	일반	540.864338713581	540.864338713581	104.64509893257036	104.64509893257036	N	N	-37.537993920972646	-47.1104514333951	-33.636607256804616										3년				1.0034443168771527	-0.3491281481575843	-0.4406035981315063	-0.31184607088914057	254.4480822302895	0.5842665493232824	3년	-0.4406035981315063	불리(<1)	3년	-47.1104514333951		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	53715000.0	1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""214430"""	아이쓰리시스템	직접추가	메인	59800.0	400.0	2657.0	9957436148.0	48991860345.0	8260246938.0							판정불가	일반	일반	6936.849340685883	6936.849340685883	19.895803785966923	19.895803785966923	N	N	23.237476808905377	43.93661447574133	43.74102307298442	54.974953617810755	96.37322895148266	95.98204614596884	146068.45176252318	256063.66932408942	255024.2966098392	144.26162502094178	328.2001159265709	326.462034464614	3년	96.37322895148266	256063.66932408942	328.2001159265709	0.6688963210702341	1.2015786538283746	2.2419557046633676	2.2321249179878944	539.5952980718372	0.9023332743676208	3년	2.2419557046633676	안심(>=2)	3년	43.93661447574133	0.45282969621958397	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	7307215.0	fs=2025:OFS,2024:OFS,2022:OFS,2020:OFS
"=""214450"""	파마리서치	직접추가	메인	366000.0	3700.0	14933.0	175663243434.0		859864326.0	0.0						판정불가	일반	일반	16824.76433349811	16824.76433349811	23.382792182850192	23.382792182850192	N	N	67.01711217984565	54.27336919294326	34.07294725066401	142.5342243596913	117.04673838588651	76.64589450132802	2128463.5723632704	1747858.9443164433	1144553.1425883314	481.54742414297004	377.55708861105006	212.7194378656643	3년	117.04673838588651	1747858.9443164433	377.55708861105006	1.010928961748634	2.9093206923118693	2.364315506992336	1.5004143191309915	14185.294456944066	3.8757635128262478	3년	2.364315506992336	안심(>=2)	3년	54.27336919294326	0.4308336211765986	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	10389648.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""215000"""	골프존	직접추가	메인	35650.0	4000.0	4269.0	90091026465.0	73299594130.0	56440641971.0	1554856235.0						판정불가	일반	일반	17042.69416827413	16794.92470043814	4.358703638258578	4.416742867079377	N	N	-47.87545787545787	-38.43313022210878	-6.892422764340401										3년				11.220196353436185	-8.409670526869423	-6.243354934666976	0.9929038421214729	10188.638934795548	28.57963235566774	3년	-6.243354934666976	불리(<1)	3년	-38.43313022210878		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	6275415.0	단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
"=""215200"""	메가스터디교육	직접추가	메인	34200.0	3000.0	8072.0	66298633028.0		36685724461.0	13667071299.0						판정불가	일반	일반	2856.9504549639873	1538.3989362112666	3.882934780108525	4.04628358074687	N	N	92.23624672541082	-2.8115416132021287	34.54221143364424	192.97249345082164	2.8769167735957426	77.58442286728848	1557673.9671350324	23222.472196464834	626261.4613847526	4454.60224308489	-32.09803451326072	1731.1738636981072	3년	2.8769167735957426	23222.472196464834	-32.09803451326072	8.771929824561402	26.013359036421704	1.5350214589987743	11.15500097506017	10570.647660791632	30.90832649354278	3년	1.5350214589987743	양호(>=1.5)	3년	-2.8115416132021287		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	10365216.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
