순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
139	002030	아세아	직접추가	메인	209000.0	5600.0	18725.0	163716811000.0	12160000.0	658028958000.0	265707008000.0						판정불가	일반	일반	-238487.41512057534	-366684.4193364424	23.89785928547799	30.744161246271954	Y	Y	-50.09727367214776	-25.894534715298978	-3.336896679607082			1.826206640785836			34195.71934871478			-83.6384117948733	3년				2.6794258373205744	-1.9841880926816566	-0.9714304783811966	-0.027511704476644607	-24122.07535681443	-11.541662850150445	3년	-0.9714304783811966	불리(<1)	3년	-25.894534715298978		판정불가	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	2072646.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
140	039490	키움증권	직접추가	메인	273000.0	11500.0	42059.0		62457765152889.0								판정불가	일반	일반	2288251.0791779323	2288251.0791779323	-47.9148595824421	-47.9148595824421	N	N	43.20394960844398			94.90789921688796			3991731.3331630905			1362.1726495102896			1년	94.90789921688796	3991731.3331630905	1362.1726495102896	4.212454212454213	-0.9895970526494757			-250622.40952773768	-91.80308041309073	1년	-0.9895970526494757	불리(<1)	1년	43.20394960844398		판정불가	N	주당FCF<=0 / 순현금차감PER<=0	제외	하드필터 미통과	27294979.0	주당FCF 음수; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:NA,2020:NA
141	375500	DL이앤씨	직접추가	메인	78600.0	890.0	8796.0	1844315983193.0	467317685812.0	444336959874.0	519274372386.0						판정불가	일반	일반	48258.513014689786	34838.3591979743	3.4494641865973414	4.975175170762358	N	N	61.010433827567276	-4.5977556239353845		130.52086765513457			1148061.5518945637			1360.638106736086			3년				1.1323155216284988	18.015189022877003	-1.0046314195032426		5614.431755408378	7.143042945812186	3년	-1.0046314195032426	불리(<1)	3년	-4.5977556239353845		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	38693623.0	단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:NA
142	006800	미래에셋증권	금융/증권	보정필요	35050.0	0.0	2680.0	1698057000000.0	128930885000000.0	9756730000000.0							판정불가	금융보정	보정주의	213146.27533903014	213146.27533903014	-66.45383408172766	-66.45383408172766	N	N	73.46278317152104			155.42556634304208			416540.51779935276			1088.4180251051434			1년	155.42556634304208	416540.51779935276	1088.4180251051434	0.0	-1.1054709511745173			-12193.31326010751	-34.788340257082766	1년	-1.1054709511745173	불리(<1)	1년	73.46278317152104		판정불가	N	주당FCF<=0 / 순현금차감PER<=0	제외	하드필터 미통과	567085734.0	린치식 단독판정 비중 낮춤; 주당FCF 음수; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:NA,2020:NA
143	003550	LG	직접추가	메인	118900.0	3100.0	4780.0	1511450000000.0	1839426000000.0	159829000000.0	0.0						판정불가	일반	일반	20691.31243852798	20691.31243852798	20.545750535872806	20.545750535872806	N	N	28.77155172413792	-27.26466268691552	-10.530872700659177	66.04310344827584			315686.03448275855			165.50549578028475			3년				2.607232968881413	1.5272639779321806	-1.200123094796772	-0.3856583247199034	5491.624275551311	4.618691569008672	3년	-1.200123094796772	불리(<1)	3년	-27.26466268691552		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	154221585.0	1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
144	005300	롯데칠성음료	직접추가	메인	98500.0	3400.0	4697.0	213358325740.0	11845742299.0	168590223949.0	1587240348429.0						판정불가	일반	일반	5630.868480357551	-152237.61390908112	19.772010117019896	53.3825024290145	N	Y	-20.09186798230691	-28.321091651421646											3년				3.451776649746193	-0.8415983622341362	-1.2578040803381827		12123.245426933277	12.307863377597236	3년	-1.2578040803381827	불리(<1)	3년	-28.321091651421646		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	10054194.0	주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
145	139480	이마트	직접추가	메인	75900.0	2500.0	5084.0	1303365061491.0	1225715519294.0	5485558368112.0	3111389126654.0						판정불가	일반	일반	-107134.98980867355	-219883.5596791311	36.00216164608056	58.179299700851914	Y	Y	-122.85971223021583	-48.64098247110502	-16.302783941696873										3년				3.293807641633729	-3.3210757110635565	-1.2595681135832046	-0.36133875593215636	20093.231814609306	26.473296198431235	3년	-1.2595681135832046	불리(<1)	3년	-48.64098247110502		판정불가	N	주당순현금<=0	제외	하드필터 미통과	27595819.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
146	000990	DB하이텍	직접추가	메인	103400.0	810.0	6285.0	323054472680.0	132808839381.0	102572732928.0	231678525383.0						판정불가	일반	일반	8120.7660013468	2795.384563807385	15.15978265690584	16.007098716975754	N	N	13.858695652173903	-21.22701789143928	10.459461040450746	36.21739130434781		29.418922080901492	227626.30434782596		184897.92527846587	120.14149356656283		78.81810955364203	3년				0.7833655705996132	0.9658490200124022	-1.3485452122578307	0.7416218863750556	4658.664548185125	4.505478286445961	3년	-1.3485452122578307	불리(<1)	3년	-21.22701789143928		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	43504588.0	단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
147	003490	대한항공	직접추가	메인	30100.0	750.0	2133.0	1869988073408.0	3532702331766.0	5900725093281.0	2027009390000.0						판정불가	일반	일반	-1352.5441151358968	-6857.420958534969	14.745684067105437	17.326498339678842	Y	Y	-40.1850813236119	-23.620676172572395	-13.307685693628002										3년				2.4916943521594686	-2.5562318302708356	-1.4328926161891196	-0.7335021754329301	-599.9903851348527	-1.9933235386539956	3년	-1.4328926161891196	불리(<1)	3년	-23.620676172572395		판정불가	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	368220661.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
148	028050	삼성E&A	직접추가	메인	49150.0	790.0	3150.0	861796626374.0	2074000285556.0		0.0						판정불가	일반	일반	14978.555673112245	14978.555673112245	10.84807756409135	10.84807756409135	N	N	-18.4360435007768												1년				1.607324516785351	-1.5513088733525338			805.8218167704082	1.6395153952602406	1년	-1.5513088733525338	불리(<1)	1년	-18.4360435007768		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	196000000.0	배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
